building_name,building_display_name,results_dataframe,metadata_dataframe
city_hall,City Hall,data/city_hall/asset_score_preflight_individual_variables_city_hall_results.RData,data/city_hall/asset_score_preflight_individual_variables_city_hall_metadata.Rdata
community_center,Community Center,data/community_center/asset_score_preflight_individual_variables_community_center_results.Rdata,data/community_center/asset_score_preflight_individual_variables_community_center_metadata.Rdata
large_hotel,Large Hotel,data/large_hotel/asset_score_preflight_individual_variables_large_hotel_results.Rdata,data/large_hotel/asset_score_preflight_individual_variables_large_hotel_metadata.Rdata
large_office,Large Office,data/large_office/asset_score_preflight_individual_variables_large_office_results.Rdata,data/large_office/asset_score_preflight_individual_variables_large_office_metadata.Rdata
primary_school,Primary School,data/primary_school/asset_score_preflight_individual_variables_primary_school_results.Rdata,data/primary_school/asset_score_preflight_individual_variables_primary_school_metadata.Rdata
