resultname,resultnamed,varname
standard_report_legacy.total_source_energy,Total Source Energy,TotalSourceEnergy
standard_report_legacy.total_electricity,Total Electricity,TotalElectricity
standard_report_legacy.total_natural_gas,Total Natural Gas,TotalNaturalGas
