resultname,resultnamed,varname
standard_report_legacy.total_source_energy,Total Source Energy,total_source_energy
standard_report_legacy.total_electricity,Total Electricity,total_electricity
standard_report_legacy.total_natural_gas,Total Natural Gas,total_natural_gas
