Date and Time,Elec [kWh],Gas [therms]
1/31/2013,2234.95,88.94
2/28/2013,1961.6,98.73
3/31/2013,2168.52,74.16
4/30/2013,2148.87,65.19
5/31/2013,2312.54,18.13
6/30/2013,2449.8,2.19
7/31/2013,2646.9,0.61
8/31/2013,2613.42,0.53
9/30/2013,2331.18,3.87
10/31/2013,2213.55,38.33
11/30/2013,2100.59,58.05
12/31/2013,2378.61,101.91
